"Latitude (decimal degrees):	36.924"
"Longitude (decimal degrees):	14.697"
"Elevation (m):	626"
"Radiation database:	PVGIS-SARAH2"


Slope: 32 deg. (optimum)
Azimuth: -6 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20201030:2209,0.0,0.0,0.0,0.0,15.17,0.97,0.0
20201030:2309,0.0,0.0,0.0,0.0,14.61,1.31,0.0
20201031:0009,0.0,0.0,0.0,0.0,14.33,1.45,0.0
20201031:0109,0.0,0.0,0.0,0.0,13.95,1.66,0.0
20201031:0209,0.0,0.0,0.0,0.0,13.77,1.79,0.0
20201031:0309,0.0,0.0,0.0,0.0,13.59,1.79,0.0
20201031:0409,0.0,0.0,0.0,0.0,13.3,1.66,0.0
20201031:0509,0.0,0.0,0.0,0.0,13.13,1.59,0.0
20201031:0609,94.74,62.8,1.25,7.83,13.04,1.38,0.0
20201031:0709,308.36,131.46,3.94,18.27,15.39,0.97,0.0
20201031:0809,502.63,165.19,6.42,27.36,17.37,0.62,0.0
20201031:0909,588.29,204.6,8.06,34.36,18.47,0.62,0.0
20201031:1009,420.71,291.29,7.98,38.38,19.29,1.17,0.0
20201031:1109,296.26,313.68,7.35,38.68,19.93,1.31,0.0
20201031:1209,347.56,273.9,7.19,35.21,20.27,1.38,0.0
20201031:1309,458.56,172.02,6.66,28.62,20.31,1.59,0.0
20201031:1409,293.7,131.36,4.39,19.81,20.02,2.07,0.0
20201031:1509,104.64,71.24,1.73,9.53,19.17,2.28,0.0
20201031:1609,0.0,0.0,0.0,0.0,18.18,1.86,0.0
20201031:1709,0.0,0.0,0.0,0.0,17.23,1.72,0.0
20201031:1809,0.0,0.0,0.0,0.0,16.46,1.72,0.0
20201031:1909,0.0,0.0,0.0,0.0,16.06,2.07,0.0
20201031:2009,0.0,0.0,0.0,0.0,15.57,2.07,0.0
20201031:2109,0.0,0.0,0.0,0.0,15.11,2.0,0.0
20201031:2209,0.0,0.0,0.0,0.0,14.68,1.93,0.0
20201031:2309,0.0,0.0,0.0,0.0,14.31,1.79,0.0
20201101:0009,0.0,0.0,0.0,0.0,13.95,1.66,0.0
20201101:0109,0.0,0.0,0.0,0.0,13.64,1.52,0.0
20201101:0209,0.0,0.0,0.0,0.0,13.22,1.38,0.0
20201101:0309,0.0,0.0,0.0,0.0,12.98,1.38,0.0
20201101:0409,0.0,0.0,0.0,0.0,12.72,1.45,0.0
20201101:0509,0.0,0.0,0.0,0.0,12.81,1.66,0.0
20201101:0609,117.1,62.19,1.29,7.61,12.84,1.72,0.0
20201101:0709,344.06,124.36,4.06,18.04,15.12,1.17,0.0
20201101:0809,536.3,154.2,6.52,27.09,17.83,1.1,0.0
20201101:0909,697.02,161.16,8.46,34.06,19.05,0.9,0.0
20201101:1009,783.36,158.53,9.53,38.06,20.05,0.62,0.0
20201101:1109,793.03,149.7,9.67,38.36,20.67,0.9,0.0
20201101:1209,736.26,129.94,8.88,34.91,20.95,1.45,0.0
20201101:1309,537.52,142.12,6.98,28.35,20.82,1.79,0.0
20201101:1409,333.33,118.42,4.53,19.56,20.33,2.07,0.0
20201101:1509,114.48,68.45,1.73,9.32,19.49,1.93,0.0
20201101:1609,0.0,0.0,0.0,0.0,18.49,1.59,0.0
20201101:1709,0.0,0.0,0.0,0.0,17.48,1.31,0.0
20201101:1809,0.0,0.0,0.0,0.0,16.61,1.03,0.0
20201101:1909,0.0,0.0,0.0,0.0,15.67,0.83,0.0
20201101:2009,0.0,0.0,0.0,0.0,15.54,0.69,0.0
20201101:2109,0.0,0.0,0.0,0.0,15.5,0.55,0.0
20201101:2209,0.0,0.0,0.0,0.0,15.37,0.55,0.0
20201101:2309,0.0,0.0,0.0,0.0,15.12,0.76,0.0
20201102:0009,0.0,0.0,0.0,0.0,14.75,0.83,0.0
20201102:0109,0.0,0.0,0.0,0.0,14.27,0.97,0.0
20201102:0209,0.0,0.0,0.0,0.0,13.44,1.17,0.0
20201102:0309,0.0,0.0,0.0,0.0,12.9,1.31,0.0
20201102:0409,0.0,0.0,0.0,0.0,12.81,1.24,0.0
20201102:0509,0.0,0.0,0.0,0.0,12.86,1.17,0.0
20201102:0609,117.17,61.59,1.26,7.4,13.4,0.97,0.0
20201102:0709,338.0,124.48,3.98,17.8,15.83,0.55,0.0
20201102:0809,536.67,153.62,6.48,26.83,17.86,0.48,0.0
20201102:0909,685.12,166.44,8.37,33.77,19.09,1.03,0.0
20201102:1009,784.29,157.87,9.49,37.74,19.99,1.59,0.0
20201102:1109,735.37,178.69,9.41,38.04,20.46,1.86,0.0
20201102:1209,671.21,162.54,8.6,34.61,20.71,2.21,0.0
20201102:1309,518.14,150.44,6.86,28.08,20.59,2.41,0.0
20201102:1409,302.51,128.71,4.36,19.33,20.13,2.55,0.0
20201102:1509,100.95,69.44,1.64,9.11,19.34,2.55,0.0
20201102:1609,0.0,0.0,0.0,0.0,18.19,2.34,0.0
20201102:1709,0.0,0.0,0.0,0.0,17.17,2.14,0.0
20201102:1809,0.0,0.0,0.0,0.0,16.44,2.0,0.0
20201102:1909,0.0,0.0,0.0,0.0,16.03,1.52,0.0
20201102:2009,0.0,0.0,0.0,0.0,15.5,1.45,0.0
20201102:2109,0.0,0.0,0.0,0.0,15.04,1.38,0.0
20201102:2209,0.0,0.0,0.0,0.0,14.73,1.38,0.0
20201102:2309,0.0,0.0,0.0,0.0,14.43,1.38,0.0
20201103:0009,0.0,0.0,0.0,0.0,14.06,1.45,0.0
20201103:0109,0.0,0.0,0.0,0.0,13.9,1.52,0.0
20201103:0209,0.0,0.0,0.0,0.0,13.81,1.52,0.0
20201103:0309,0.0,0.0,0.0,0.0,13.77,1.45,0.0
20201103:0409,0.0,0.0,0.0,0.0,13.82,1.45,0.0
20201103:0509,0.0,0.0,0.0,0.0,13.75,1.52,0.0
20201103:0609,117.25,61.01,1.23,7.19,13.57,1.52,0.0
20201103:0709,337.67,123.88,3.94,17.56,14.79,1.79,0.0
20201103:0809,528.54,157.76,6.42,26.56,16.18,1.66,0.0
20201103:0909,685.8,167.18,8.34,33.47,17.28,1.79,0.0
20201103:1009,785.2,158.53,9.46,37.43,18.47,1.93,0.0
20201103:1109,766.28,164.07,9.49,37.73,19.25,2.28,0.0
20201103:1209,711.11,144.43,8.72,34.32,19.77,2.69,0.0
20201103:1309,529.24,145.44,6.86,27.82,20.0,2.69,0.0
20201103:1409,321.69,121.24,4.39,19.09,19.81,2.83,0.0
20201103:1509,119.14,66.64,1.68,8.9,19.04,2.62,0.0
20201103:1609,0.0,0.0,0.0,0.0,17.96,2.41,0.0
20201103:1709,0.0,0.0,0.0,0.0,16.93,2.21,0.0
20201103:1809,0.0,0.0,0.0,0.0,16.21,1.93,0.0
20201103:1909,0.0,0.0,0.0,0.0,15.94,1.86,0.0
20201103:2009,0.0,0.0,0.0,0.0,15.33,1.66,0.0
20201103:2109,0.0,0.0,0.0,0.0,14.88,1.52,0.0
20201103:2209,0.0,0.0,0.0,0.0,14.6,1.45,0.0
20201103:2309,0.0,0.0,0.0,0.0,14.16,1.24,0.0
20201104:0009,0.0,0.0,0.0,0.0,13.69,1.1,0.0
20201104:0109,0.0,0.0,0.0,0.0,13.19,1.1,0.0
20201104:0209,0.0,0.0,0.0,0.0,13.09,1.17,0.0
20201104:0309,0.0,0.0,0.0,0.0,13.2,1.38,0.0
20201104:0409,0.0,0.0,0.0,0.0,13.02,1.59,0.0
20201104:0509,0.0,0.0,0.0,0.0,13.23,1.52,0.0
20201104:0609,83.37,56.78,1.07,6.97,13.19,1.45,0.0
20201104:0709,299.83,130.92,3.74,17.32,14.97,0.62,0.0
20201104:0809,540.8,148.63,6.37,26.3,17.24,0.21,0.0
20201104:0909,676.85,165.91,8.21,33.18,18.48,0.62,0.0
20201104:1009,761.38,165.86,9.28,37.12,19.46,1.86,0.0
20201104:1109,770.12,158.27,9.41,37.42,20.0,2.55,0.0
20201104:1209,702.82,143.25,8.58,34.03,20.24,3.1,0.0
20201104:1309,531.17,141.02,6.78,27.56,20.25,3.38,0.0
20201104:1409,253.84,139.25,4.04,18.87,19.9,3.31,0.0
20201104:1509,123.63,64.1,1.65,8.7,19.26,2.48,0.0
20201104:1609,0.0,0.0,0.0,0.0,18.31,1.72,0.0
20201104:1709,0.0,0.0,0.0,0.0,17.43,1.52,0.0
20201104:1809,0.0,0.0,0.0,0.0,16.78,1.31,0.0
20201104:1909,0.0,0.0,0.0,0.0,16.34,0.76,0.0
20201104:2009,0.0,0.0,0.0,0.0,16.35,0.48,0.0
20201104:2109,0.0,0.0,0.0,0.0,16.13,0.48,0.0
20201104:2209,0.0,0.0,0.0,0.0,15.63,0.76,0.0
20201104:2309,0.0,0.0,0.0,0.0,14.89,1.1,0.0
20201105:0009,0.0,0.0,0.0,0.0,14.49,1.38,0.0
20201105:0109,0.0,0.0,0.0,0.0,14.05,1.52,0.0
20201105:0209,0.0,0.0,0.0,0.0,13.79,1.59,0.0
20201105:0309,0.0,0.0,0.0,0.0,13.62,1.59,0.0
20201105:0409,0.0,0.0,0.0,0.0,13.41,1.45,0.0
20201105:0509,0.0,0.0,0.0,0.0,13.46,1.31,0.0
20201105:0609,101.57,55.53,1.08,6.76,13.52,1.24,0.0
20201105:0709,167.47,142.65,3.1,17.09,15.52,0.69,0.0
20201105:0809,368.81,196.5,5.59,26.04,17.43,0.14,0.0
20201105:0909,426.41,245.58,7.05,32.89,18.53,0.62,0.0
20201105:1009,681.41,191.61,8.81,36.81,19.37,1.24,0.0
20201105:1109,399.96,284.77,7.67,37.12,20.1,1.72,0.0
20201105:1209,250.29,277.05,6.33,33.75,20.54,2.14,0.0
20201105:1309,472.29,157.77,6.42,27.31,20.26,2.41,0.0
20201105:1409,317.78,113.22,4.19,18.64,19.76,2.34,0.0
20201105:1509,107.24,62.32,1.52,8.5,19.0,2.14,0.0
20201105:1609,0.0,0.0,0.0,0.0,18.11,1.59,0.0
20201105:1709,0.0,0.0,0.0,0.0,17.4,1.31,0.0
20201105:1809,0.0,0.0,0.0,0.0,16.82,1.1,0.0
20201105:1909,0.0,0.0,0.0,0.0,16.22,0.83,0.0
20201105:2009,0.0,0.0,0.0,0.0,16.24,0.28,0.0
20201105:2109,0.0,0.0,0.0,0.0,16.01,0.21,0.0
20201105:2209,0.0,0.0,0.0,0.0,15.58,0.62,0.0
20201105:2309,0.0,0.0,0.0,0.0,14.48,1.1,0.0
20201106:0009,0.0,0.0,0.0,0.0,13.93,1.24,0.0
20201106:0109,0.0,0.0,0.0,0.0,13.68,1.24,0.0
20201106:0209,0.0,0.0,0.0,0.0,13.59,1.17,0.0
20201106:0309,0.0,0.0,0.0,0.0,13.6,1.24,0.0
20201106:0409,0.0,0.0,0.0,0.0,13.17,1.52,0.0
20201106:0509,0.0,0.0,0.0,0.0,13.13,1.72,0.0
20201106:0609,35.92,46.01,0.8,6.55,13.3,1.86,0.0
20201106:0709,143.07,142.27,2.95,16.85,14.56,1.38,0.0
20201106:0809,334.96,203.68,5.41,25.77,16.65,1.45,0.0
20201106:0909,271.84,273.42,6.24,32.61,17.85,1.45,0.0
20201106:1009,182.52,304.42,6.19,36.51,18.59,1.17,0.0
20201106:1109,239.32,306.78,6.69,36.82,19.11,0.97,0.0
20201106:1209,432.7,243.75,7.32,33.47,19.34,0.9,0.0
20201106:1309,3.14,143.65,2.36,27.06,19.38,1.17,0.0
20201106:1409,1.68,92.64,1.52,18.43,19.05,1.31,0.0
20201106:1509,6.44,46.28,0.78,8.31,18.67,1.52,0.0
20201106:1609,0.0,0.0,0.0,0.0,17.72,1.17,0.0
20201106:1709,0.0,0.0,0.0,0.0,16.81,0.9,0.0
20201106:1809,0.0,0.0,0.0,0.0,15.71,0.69,0.0
20201106:1909,0.0,0.0,0.0,0.0,15.64,0.83,0.0
20201106:2009,0.0,0.0,0.0,0.0,15.22,0.83,0.0
20201106:2109,0.0,0.0,0.0,0.0,13.98,1.31,0.0
20201106:2209,0.0,0.0,0.0,0.0,13.49,1.59,0.0
20201106:2309,0.0,0.0,0.0,0.0,13.43,1.79,0.0
20201107:0009,0.0,0.0,0.0,0.0,13.52,2.07,0.0
20201107:0109,0.0,0.0,0.0,0.0,13.52,2.28,0.0
20201107:0209,0.0,0.0,0.0,0.0,13.71,2.48,0.0
20201107:0309,0.0,0.0,0.0,0.0,13.65,2.62,0.0
20201107:0409,0.0,0.0,0.0,0.0,13.58,2.76,0.0
20201107:0509,0.0,0.0,0.0,0.0,13.45,2.83,0.0
20201107:0609,70.6,49.72,0.9,6.33,13.42,2.9,0.0
20201107:0709,313.7,120.11,3.61,16.62,14.67,1.86,0.0
20201107:0809,499.85,155.48,6.01,25.51,16.68,2.07,0.0
20201107:0909,629.71,176.61,7.8,32.32,17.89,2.21,0.0
20201107:1009,724.33,173.5,8.9,36.21,18.62,1.79,0.0
20201107:1109,630.56,210.63,8.63,36.52,19.18,1.31,0.0
20201107:1209,583.1,189.22,7.91,33.2,19.46,0.69,0.0
20201107:1309,7.9,159.13,2.65,26.82,19.43,0.21,0.0
20201107:1409,1.7,88.01,1.44,18.22,19.15,0.14,0.0
20201107:1509,17.52,52.0,0.92,8.12,18.54,0.55,0.0
20201107:1609,0.0,0.0,0.0,0.0,17.67,0.76,0.0
20201107:1709,0.0,0.0,0.0,0.0,16.74,0.55,0.0
20201107:1809,0.0,0.0,0.0,0.0,16.03,0.21,0.0
20201107:1909,0.0,0.0,0.0,0.0,16.01,0.14,0.0
20201107:2009,0.0,0.0,0.0,0.0,15.62,0.41,0.0
20201107:2109,0.0,0.0,0.0,0.0,15.42,0.62,0.0
20201107:2209,0.0,0.0,0.0,0.0,15.15,0.69,0.0
20201107:2309,0.0,0.0,0.0,0.0,14.79,0.76,0.0
20201108:0009,0.0,0.0,0.0,0.0,14.22,1.03,0.0
20201108:0109,0.0,0.0,0.0,0.0,13.87,1.17,0.0
20201108:0209,0.0,0.0,0.0,0.0,13.42,1.45,0.0
20201108:0309,0.0,0.0,0.0,0.0,13.1,1.59,0.0
20201108:0409,0.0,0.0,0.0,0.0,12.95,1.59,0.0
20201108:0509,0.0,0.0,0.0,0.0,12.61,1.52,0.0
20201108:0609,83.15,51.49,0.93,6.12,12.24,1.45,0.0
20201108:0709,323.3,119.33,3.62,16.39,13.91,1.03,0.0
20201108:0809,515.69,150.83,6.04,25.26,16.39,0.97,0.0
20201108:0909,649.58,170.77,7.86,32.04,17.49,0.76,0.0
20201108:1009,732.67,172.02,8.91,35.92,18.38,0.69,0.0
20201108:1109,519.01,254.15,8.16,36.23,19.09,1.1,0.0
20201108:1209,297.75,271.7,6.55,32.93,19.49,1.66,0.0
20201108:1309,340.08,201.32,5.76,26.58,19.68,1.93,0.0
20201108:1409,287.4,124.78,4.0,18.01,19.53,1.72,0.0
20201108:1509,107.32,60.22,1.43,7.94,18.82,1.86,0.0
20201108:1609,0.0,0.0,0.0,0.0,17.78,1.72,0.0
20201108:1709,0.0,0.0,0.0,0.0,16.91,1.38,0.0
20201108:1809,0.0,0.0,0.0,0.0,16.19,1.1,0.0
20201108:1909,0.0,0.0,0.0,0.0,16.17,0.07,0.0
20201108:2009,0.0,0.0,0.0,0.0,15.67,0.28,0.0
20201108:2109,0.0,0.0,0.0,0.0,15.05,0.69,0.0
20201108:2209,0.0,0.0,0.0,0.0,14.07,0.97,0.0
20201108:2309,0.0,0.0,0.0,0.0,13.34,1.17,0.0
20201109:0009,0.0,0.0,0.0,0.0,12.84,1.31,0.0
20201109:0109,0.0,0.0,0.0,0.0,12.61,1.31,0.0
20201109:0209,0.0,0.0,0.0,0.0,12.21,1.38,0.0
20201109:0309,0.0,0.0,0.0,0.0,11.96,1.45,0.0
20201109:0409,0.0,0.0,0.0,0.0,11.71,1.52,0.0
20201109:0509,0.0,0.0,0.0,0.0,11.73,1.59,0.0
20201109:0609,85.78,48.59,0.89,5.91,11.95,1.66,0.0
20201109:0709,310.2,119.93,3.52,16.15,13.57,1.72,0.0
20201109:0809,503.36,155.98,5.97,25.0,16.07,1.59,0.0
20201109:0909,648.25,170.02,7.8,31.77,17.41,1.24,0.0
20201109:1009,744.22,165.29,8.9,35.63,18.3,1.03,0.0
20201109:1109,727.04,170.79,8.95,35.95,18.91,0.62,0.0
20201109:1209,514.45,217.13,7.58,32.67,19.18,0.28,0.0
20201109:1309,470.18,160.21,6.28,26.35,19.24,0.34,0.0
20201109:1409,224.44,138.5,3.68,17.81,18.98,1.1,0.0
20201109:1509,89.01,60.32,1.32,7.77,18.3,1.59,0.0
20201109:1609,0.0,0.0,0.0,0.0,17.2,1.52,0.0
20201109:1709,0.0,0.0,0.0,0.0,16.35,1.31,0.0
20201109:1809,0.0,0.0,0.0,0.0,15.76,1.03,0.0
20201109:1909,0.0,0.0,0.0,0.0,14.97,1.03,0.0
20201109:2009,0.0,0.0,0.0,0.0,14.72,0.83,0.0
20201109:2109,0.0,0.0,0.0,0.0,14.44,0.76,0.0
20201109:2209,0.0,0.0,0.0,0.0,13.66,0.97,0.0
20201109:2309,0.0,0.0,0.0,0.0,13.37,1.03,0.0
20201110:0009,0.0,0.0,0.0,0.0,13.04,1.24,0.0
20201110:0109,0.0,0.0,0.0,0.0,12.61,1.38,0.0
20201110:0209,0.0,0.0,0.0,0.0,12.43,1.45,0.0
20201110:0309,0.0,0.0,0.0,0.0,12.21,1.52,0.0
20201110:0409,0.0,0.0,0.0,0.0,12.03,1.59,0.0
20201110:0509,0.0,0.0,0.0,0.0,11.77,1.59,0.0
20201110:0609,84.88,43.05,0.86,5.7,11.97,1.59,0.0
20201110:0709,313.63,118.39,3.49,15.92,13.22,1.59,0.0
20201110:0809,510.47,151.88,5.94,24.75,15.61,1.31,0.0
20201110:0909,645.21,170.48,7.74,31.49,16.97,1.03,0.0
20201110:1009,755.84,158.46,8.88,35.34,17.88,0.69,0.0
20201110:1109,431.77,276.11,7.67,35.67,18.63,0.14,0.0
20201110:1209,266.41,272.34,6.28,32.41,19.17,0.48,0.0
20201110:1309,209.22,220.16,4.98,26.12,19.27,1.03,0.0
20201110:1409,67.95,140.63,2.68,17.61,18.96,1.17,0.0
20201110:1509,62.9,58.58,1.17,7.6,18.18,1.45,0.0
20201110:1609,0.0,0.0,0.0,0.0,17.11,1.31,0.0
20201110:1709,0.0,0.0,0.0,0.0,16.17,0.83,0.0
20201110:1809,0.0,0.0,0.0,0.0,15.23,0.48,0.0
20201110:1909,0.0,0.0,0.0,0.0,14.71,0.55,0.0
20201110:2009,0.0,0.0,0.0,0.0,14.28,0.69,0.0
20201110:2109,0.0,0.0,0.0,0.0,13.89,0.76,0.0
20201110:2209,0.0,0.0,0.0,0.0,13.63,0.83,0.0
20201110:2309,0.0,0.0,0.0,0.0,13.45,0.9,0.0
20201111:0009,0.0,0.0,0.0,0.0,12.96,0.97,0.0
20201111:0109,0.0,0.0,0.0,0.0,12.32,1.1,0.0
20201111:0209,0.0,0.0,0.0,0.0,11.82,1.17,0.0
20201111:0309,0.0,0.0,0.0,0.0,11.62,1.24,0.0
20201111:0409,0.0,0.0,0.0,0.0,11.22,1.38,0.0
20201111:0509,0.0,0.0,0.0,0.0,10.96,1.45,0.0
20201111:0609,72.49,40.24,0.78,5.49,10.89,1.45,0.0
20201111:0709,308.6,118.59,3.43,15.69,12.58,1.59,0.0
20201111:0809,487.09,157.32,5.79,24.5,14.97,1.17,0.0
20201111:0909,640.44,170.81,7.67,31.22,16.68,0.62,0.0
20201111:1009,669.99,196.17,8.52,35.06,17.66,0.34,0.0
20201111:1109,460.56,266.26,7.74,35.39,18.42,0.48,0.0
20201111:1209,341.82,259.61,6.66,32.16,18.68,0.9,0.0
20201111:1309,406.48,179.36,5.92,25.9,18.53,1.38,0.0
20201111:1409,203.93,139.07,3.5,17.42,18.09,1.31,0.0
20201111:1509,0.0,18.49,0.3,7.43,17.51,1.45,0.0
20201111:1609,0.0,0.0,0.0,0.0,16.66,1.24,0.0
20201111:1709,0.0,0.0,0.0,0.0,15.88,1.03,0.0
20201111:1809,0.0,0.0,0.0,0.0,15.03,0.83,0.0
20201111:1909,0.0,0.0,0.0,0.0,14.53,0.83,0.0
20201111:2009,0.0,0.0,0.0,0.0,14.55,0.14,0.0
